cause,year,deaths
Heart,2009,168
Stroke,2010,158
Diabetes,2011,174
Heart,2012,167
Stroke,2013,146
Diabetes,2014,236
Heart,2015,170
Stroke,2016,112
Diabetes,2017,182
Heart,2018,208
Stroke,2019,223
Diabetes,2020,179
Heart,2009,183
Stroke,2010,170
Diabetes,2011,168
Heart,2012,144
Stroke,2013,206
Diabetes,2014,144
Heart,2015,169
Stroke,2016,175
Diabetes,2017,190
Heart,2018,167
Stroke,2019,130
Diabetes,2020,241
Heart,2009,223
Stroke,2010,162
Diabetes,2011,126
Heart,2012,209
Stroke,2013,167
Diabetes,2014,134
